season,abv,per_mean,per_wmean,ts_percent_mean,ts_percent_wmean,obpm_mean,obpm_wmean,dbpm_mean,dbpm_wmean,usg_percent_mean,usg_percent_wmean,a2t_perc_mean,a2t_perc_wmean,role_mp_total,role_gs_total,role_count,made_playoffs
2000,IND,13.459999999999999,14.258976660682226,0.544,0.5508049072411729,-0.6799999999999999,-0.21159485338120881,0.6,0.40671753441053254,17.52,18.371289646918015,1.344,1.3436400359066427,6684.0,14.0,5,True
2000,LAC,12.466666666666667,12.622955974842768,0.5166666666666667,0.5217987421383647,-1.5999999999999999,-1.0784591194968554,-0.4666666666666666,-0.975440251572327,16.0,16.362044025157232,1.15,1.2010094339622641,3180.0,47.0,3,False
2000,LAL,11.624999999999998,11.63486312399356,0.48,0.48155555555555557,-1.625,-1.6307729468599035,1.6,1.6533011272141707,15.274999999999999,15.194927536231884,2.1624999999999996,2.157785829307568,6210.0,25.0,4,True
2000,MIA,13.05,13.222392260334214,0.515,0.509410729991205,-1.65,-1.415250659630607,0.27499999999999997,0.31906772207563766,19.375,19.240633245382586,1.3325,1.478934036939314,5685.0,46.0,4,True
2000,MIL,11.375,12.2282842084716,0.505,0.5132890884247511,-1.75,-1.2277376537185243,-0.525,-0.6361897325785673,15.8,17.063068514542262,1.595,1.5607163771227797,5123.0,8.0,4,True
2000,MIN,13.200000000000001,13.370161137440759,0.5166666666666667,0.5176739336492892,-1.1666666666666667,-1.1119052132701421,-0.3666666666666667,-0.37859715639810426,18.366666666666664,18.580834123222747,1.8533333333333335,1.7817175355450237,5275.0,55.0,3,True
2000,NJN,13.35,13.225591240875913,0.5175,0.5156277372262773,-0.42500000000000004,-0.498029197080292,-0.44999999999999996,-0.6170656934306569,15.875,15.501065693430657,1.6175000000000002,1.5240481751824817,6850.0,46.0,4,False
2000,NYK,13.733333333333334,13.596958028494418,0.52,0.5208952637658838,-1.2666666666666666,-1.3174624566807855,1.2666666666666666,1.2587793608009241,16.700000000000003,16.629091259145167,1.3699999999999999,1.3529226030034656,5194.0,34.0,3,True
2000,ORL,14.149999999999999,13.998347701149426,0.5183333333333334,0.5178532088122605,-1.0666666666666667,-1.0193127394636015,-0.5166666666666667,-0.5553041187739464,22.400000000000002,22.217768199233717,0.94,0.9961326628352491,8352.0,58.0,6,False
2000,PHI,13.440000000000001,13.442054419578167,0.488,0.48923039768153276,-1.02,-1.1175334084688455,0.6200000000000001,0.7255836419256159,21.139999999999997,20.743229753662852,1.2579999999999998,1.32030912896474,6211.0,54.0,5,True
2000,PHO,13.8,14.675948406676785,0.5475,0.5548084218512898,-0.525,-0.028888467374810354,1.2999999999999998,1.2946130500758726,18.5,19.308896054628224,1.2125,1.163002655538695,5272.0,36.0,4,True
2000,POR,14.7,14.547523709167546,0.5425,0.542718651211802,-0.07500000000000001,-0.038672286617492106,0.7,0.7015103617843345,19.2,18.812785388127853,1.5675,1.6462838075166843,5694.0,23.0,4,True
2000,SAC,13.975000000000001,14.588147729413983,0.545,0.5546938006406633,-0.42499999999999993,-0.012662521198417237,0.875,0.7622573958922177,15.524999999999999,16.121631807047297,1.485,1.404936875824383,5307.0,22.0,4,True
2000,SAS,12.940000000000001,12.887230769230769,0.518,0.5201706293706295,-0.9600000000000002,-0.8610349650349651,1.24,1.1953426573426575,17.16,17.14088111888112,1.7719999999999998,1.7722223776223778,7150.0,42.0,5,True
2000,SEA,14.55,14.995670826833074,0.5,0.5091419656786271,-0.10000000000000003,0.0828393135725429,-0.65,-0.5014430577223089,23.35,22.49294071762871,1.175,1.1121489859594385,2564.0,8.0,2,True
2000,TOR,14.3,15.155248691099475,0.508,0.5068939790575916,-0.020000000000000018,0.036374345549738174,-0.66,-0.4310732984293194,19.18,19.444267015706806,2.382,2.3537748691099476,7640.0,61.0,5,True
2000,UTA,13.0,12.652319357716324,0.5,0.5007448706512043,-1.5666666666666664,-1.4911685994647634,-0.06666666666666665,0.1309991079393398,18.2,17.29161462979483,1.1833333333333333,1.4236351471900088,4484.0,8.0,3,True
