season,abv,conference,division,w,l,games,win_pct,overall_rank,conf_rank,bench_mp,bench_players,bench_per_wmean,bench_per_mean,bench_ts_percent_wmean,bench_ts_percent_mean,bench_obpm_wmean,bench_obpm_mean,bench_dbpm_wmean,bench_dbpm_mean,bench_usg_percent_wmean,bench_usg_percent_mean,bench_a2t_perc_wmean,bench_a2t_perc_mean
2002,DEN,Western,Midwest,27,55,82,0.33,16.0,7.0,2293.0,6,12.41984300043611,12.366666666666667,0.4709986916703009,0.4633333333333334,-2.7316179677278676,-2.8333333333333335,-0.9186655037069341,-1.0333333333333334,17.69834278238116,17.71666666666667,1.279097252507632,1.3583333333333332
2002,DET,Eastern,Central,50,32,82,0.61,3.0,2.0,582.0,1,10.5,10.5,0.4699999999999999,0.47,-2.0,-2.0,-0.6,-0.6,19.2,19.2,2.45,2.45
2002,HOU,Western,Midwest,28,54,82,0.34,15.0,6.0,365.0,1,11.1,11.1,0.49,0.49,-3.1,-3.1,-2.1,-2.1,15.5,15.5,0.8,0.8
2002,IND,Eastern,Central,42,40,82,0.51,9.0,5.0,577.0,1,14.3,14.3,0.55,0.55,-0.3,-0.3,1.2,1.2,13.3,13.3,3.78,3.78
2002,LAC,Western,Pacific,39,43,82,0.48,12.0,5.0,343.0,1,9.5,9.5,0.48,0.48,-2.5,-2.5,0.0,0.0,11.9,11.9,1.33,1.33
2002,MEM,Western,Midwest,23,59,82,0.28,17.0,8.0,1230.0,4,8.63130081300813,8.3,0.45783739837398374,0.4475,-3.930325203252032,-4.075,-0.8020325203252032,-0.75,17.559837398373983,17.725,1.0447154471544715,1.025
2002,MIA,Eastern,Atlantic,36,46,82,0.44,13.0,8.0,319.0,1,9.3,9.3,0.4699999999999999,0.47,-4.7,-4.7,0.8,0.8,18.2,18.2,0.44000000000000006,0.44
2002,MIL,Eastern,Central,41,41,82,0.5,11.0,7.0,836.0,2,10.406220095693781,10.6,0.4738516746411483,0.49,-3.3322966507177036,-3.3,-1.2739234449760766,-1.5,19.192224880382778,18.95,1.6651435406698567,1.4100000000000001
2002,MIN,Western,Midwest,50,32,82,0.61,3.0,2.0,578.0,2,9.156401384083045,9.149999999999999,0.43692041522491354,0.435,-3.9179930795847757,-3.95,-1.0024221453287196,-0.9,17.676816608996543,17.6,1.2463321799307958,1.375
2002,NJN,Eastern,Atlantic,52,30,82,0.63,2.0,1.0,539.0,2,6.556029684601113,6.75,0.3869016697588126,0.385,-4.875510204081633,-4.75,0.4157699443413729,0.45,17.687012987012984,17.9,1.587569573283859,1.645
2002,PHI,Eastern,Atlantic,43,39,82,0.52,8.0,4.0,169.0,1,5.5,5.5,0.27,0.27,-6.199999999999999,-6.2,0.8000000000000002,0.8,11.0,11.0,0.43,0.43
2002,POR,Western,Pacific,49,33,82,0.6,5.0,3.0,228.0,1,9.8,9.8,0.4,0.4,-4.9,-4.9,1.9,1.9,16.9,16.9,3.0,3.0
2002,SEA,Western,Pacific,45,37,82,0.55,7.0,4.0,279.0,1,11.9,11.9,0.5,0.5,-3.3,-3.3,0.2,0.2,18.1,18.1,1.0,1.0
2002,TOR,Eastern,Central,42,40,82,0.51,9.0,5.0,280.0,1,12.3,12.3,0.54,0.54,-2.2,-2.2,0.6,0.6,10.8,10.8,4.0,4.0
2003,ATL,Eastern,Central,35,47,82,0.43,12.0,7.0,704.0,2,8.723863636363637,8.7,0.45,0.45,-2.9244318181818185,-2.95,0.3789772727272727,0.35,15.103977272727274,15.15,2.042897727272727,2.025
2003,BOS,Eastern,Atlantic,44,38,82,0.54,6.0,4.0,518.0,1,12.2,12.2,0.62,0.62,-3.4,-3.4,1.6,1.6,11.7,11.7,0.67,0.67
2003,CHI,Eastern,Central,30,52,82,0.37,13.0,8.0,196.0,1,13.4,13.4,0.54,0.54,-1.4,-1.4,0.4,0.4,16.4,16.4,2.1,2.1
2003,CLE,Eastern,Central,17,65,82,0.21,16.0,10.0,168.0,1,17.4,17.4,0.5,0.5,-0.9000000000000001,-0.9,1.1,1.1,22.5,22.5,1.73,1.73
2003,DEN,Western,Midwest,17,65,82,0.21,16.0,7.0,1748.0,3,12.508009153318078,11.733333333333334,0.4387414187643021,0.4266666666666667,-1.3036613272311215,-1.7000000000000002,-0.30869565217391315,-0.16666666666666666,20.378489702517165,20.633333333333333,2.026361556064073,1.9433333333333334
2003,GSW,Western,Pacific,38,44,82,0.46,10.0,5.0,485.0,2,11.41257731958763,11.3,0.44,0.44,-1.7334020618556703,-1.8499999999999999,-1.4781443298969075,-1.4500000000000002,18.030927835051546,17.85,1.4390515463917526,1.3900000000000001
2003,MEM,Western,Midwest,28,54,82,0.34,14.0,6.0,360.0,1,19.0,19.0,0.61,0.61,2.7,2.7,-1.3,-1.3,24.1,24.1,1.19,1.19
2003,NJN,Eastern,Atlantic,49,33,82,0.6,2.0,1.0,514.0,1,11.2,11.2,0.44,0.44,-3.7,-3.7,0.3,0.3,16.6,16.6,0.57,0.57
2003,NOH,Eastern,Central,47,35,82,0.57,4.0,3.0,886.0,2,11.739503386004516,11.75,0.45489841986455976,0.45499999999999996,-2.8033860045146723,-2.8,0.14830699774266368,0.15000000000000002,20.3020316027088,20.3,1.9491873589164785,1.95
