season,team name,abv,conference,division
2018,Detroit Pistons,DET,Eastern,Central
2018,Golden State Warriors,GSW,Western,Pacific
2018,Houston Rockets,HOU,Western,Southwest
2018,Indiana Pacers,IND,Eastern,Central
2018,Los Angeles Clippers,LAC,Western,Pacific
2018,Los Angeles Lakers,LAL,Western,Pacific
2018,Memphis Grizzlies,MEM,Western,Southwest
2018,Miami Heat,MIA,Eastern,Southeast
2018,Milwaukee Bucks,MIL,Eastern,Central
2018,Minnesota Timberwolves,MIN,Western,Northwest
2018,New Orleans Pelicans,NOP,Western,Southwest
2018,New York Knicks,NYK,Eastern,Atlantic
2018,Oklahoma City Thunder,OKC,Western,Northwest
2018,Orlando Magic,ORL,Eastern,Southeast
2018,Philadelphia 76ers,PHI,Eastern,Atlantic
2018,Phoenix Suns,PHO,Western,Pacific
2018,Portland Trail Blazers,POR,Western,Northwest
2018,Sacramento Kings,SAC,Western,Pacific
2018,San Antonio Spurs,SAS,Western,Southwest
2018,Toronto Raptors,TOR,Eastern,Atlantic
2018,Utah Jazz,UTA,Western,Northwest
2018,Washington Wizards,WAS,Eastern,Southeast
2019,Atlanta Hawks,ATL,Eastern,Southeast
2019,Boston Celtics,BOS,Eastern,Atlantic
2019,Brooklyn Nets,BRK,Eastern,Atlantic
2019,Charlotte Hornets,CHO,Eastern,Southeast
2019,Chicago Bulls,CHI,Eastern,Central
2019,Cleveland Cavaliers,CLE,Eastern,Central
2019,Dallas Mavericks,DAL,Western,Southwest
2019,Denver Nuggets,DEN,Western,Northwest
2019,Detroit Pistons,DET,Eastern,Central
2019,Golden State Warriors,GSW,Western,Pacific
2019,Houston Rockets,HOU,Western,Southwest
2019,Indiana Pacers,IND,Eastern,Central
2019,Los Angeles Clippers,LAC,Western,Pacific
2019,Los Angeles Lakers,LAL,Western,Pacific
2019,Memphis Grizzlies,MEM,Western,Southwest
2019,Miami Heat,MIA,Eastern,Southeast
2019,Milwaukee Bucks,MIL,Eastern,Central
2019,Minnesota Timberwolves,MIN,Western,Northwest
2019,New Orleans Pelicans,NOP,Western,Southwest
2019,New York Knicks,NYK,Eastern,Atlantic
2019,Oklahoma City Thunder,OKC,Western,Northwest
2019,Orlando Magic,ORL,Eastern,Southeast
2019,Philadelphia 76ers,PHI,Eastern,Atlantic
2019,Phoenix Suns,PHO,Western,Pacific
2019,Portland Trail Blazers,POR,Western,Northwest
2019,Sacramento Kings,SAC,Western,Pacific
2019,San Antonio Spurs,SAS,Western,Southwest
2019,Toronto Raptors,TOR,Eastern,Atlantic
2019,Utah Jazz,UTA,Western,Northwest
2019,Washington Wizards,WAS,Eastern,Southeast
2020,Atlanta Hawks,ATL,Eastern,Southeast
2020,Boston Celtics,BOS,Eastern,Atlantic
2020,Brooklyn Nets,BRK,Eastern,Atlantic
2020,Charlotte Hornets,CHO,Eastern,Southeast
2020,Chicago Bulls,CHI,Eastern,Central
2020,Cleveland Cavaliers,CLE,Eastern,Central
2020,Dallas Mavericks,DAL,Western,Southwest
2020,Denver Nuggets,DEN,Western,Northwest
2020,Detroit Pistons,DET,Eastern,Central
2020,Golden State Warriors,GSW,Western,Pacific
2020,Houston Rockets,HOU,Western,Southwest
2020,Indiana Pacers,IND,Eastern,Central
2020,Los Angeles Clippers,LAC,Western,Pacific
2020,Los Angeles Lakers,LAL,Western,Pacific
2020,Memphis Grizzlies,MEM,Western,Southwest
2020,Miami Heat,MIA,Eastern,Southeast
2020,Milwaukee Bucks,MIL,Eastern,Central
2020,Minnesota Timberwolves,MIN,Western,Northwest
2020,New Orleans Pelicans,NOP,Western,Southwest
2020,New York Knicks,NYK,Eastern,Atlantic
2020,Oklahoma City Thunder,OKC,Western,Northwest
2020,Orlando Magic,ORL,Eastern,Southeast
2020,Philadelphia 76ers,PHI,Eastern,Atlantic
2020,Phoenix Suns,PHO,Western,Pacific
2020,Portland Trail Blazers,POR,Western,Northwest
2020,Sacramento Kings,SAC,Western,Pacific
2020,San Antonio Spurs,SAS,Western,Southwest
2020,Toronto Raptors,TOR,Eastern,Atlantic
2020,Utah Jazz,UTA,Western,Northwest
2020,Washington Wizards,WAS,Eastern,Southeast
2021,Atlanta Hawks,ATL,Eastern,Southeast
2021,Boston Celtics,BOS,Eastern,Atlantic
2021,Brooklyn Nets,BRK,Eastern,Atlantic
2021,Charlotte Hornets,CHO,Eastern,Southeast
2021,Chicago Bulls,CHI,Eastern,Central
2021,Cleveland Cavaliers,CLE,Eastern,Central
2021,Dallas Mavericks,DAL,Western,Southwest
2021,Denver Nuggets,DEN,Western,Northwest
2021,Detroit Pistons,DET,Eastern,Central
2021,Golden State Warriors,GSW,Western,Pacific
2021,Houston Rockets,HOU,Western,Southwest
2021,Indiana Pacers,IND,Eastern,Central
2021,Los Angeles Clippers,LAC,Western,Pacific
2021,Los Angeles Lakers,LAL,Western,Pacific
2021,Memphis Grizzlies,MEM,Western,Southwest
2021,Miami Heat,MIA,Eastern,Southeast
2021,Milwaukee Bucks,MIL,Eastern,Central
2021,Minnesota Timberwolves,MIN,Western,Northwest
2021,New Orleans Pelicans,NOP,Western,Southwest
2021,New York Knicks,NYK,Eastern,Atlantic
2021,Oklahoma City Thunder,OKC,Western,Northwest
2021,Orlando Magic,ORL,Eastern,Southeast
2021,Philadelphia 76ers,PHI,Eastern,Atlantic
2021,Phoenix Suns,PHO,Western,Pacific
2021,Portland Trail Blazers,POR,Western,Northwest
2021,Sacramento Kings,SAC,Western,Pacific
2021,San Antonio Spurs,SAS,Western,Southwest
2021,Toronto Raptors,TOR,Eastern,Atlantic
2021,Utah Jazz,UTA,Western,Northwest
2021,Washington Wizards,WAS,Eastern,Southeast
2022,Atlanta Hawks,ATL,Eastern,Southeast
2022,Boston Celtics,BOS,Eastern,Atlantic
2022,Brooklyn Nets,BRK,Eastern,Atlantic
2022,Charlotte Hornets,CHO,Eastern,Southeast
2022,Chicago Bulls,CHI,Eastern,Central
2022,Cleveland Cavaliers,CLE,Eastern,Central
2022,Dallas Mavericks,DAL,Western,Southwest
2022,Denver Nuggets,DEN,Western,Northwest
2022,Detroit Pistons,DET,Eastern,Central
2022,Golden State Warriors,GSW,Western,Pacific
2022,Houston Rockets,HOU,Western,Southwest
2022,Indiana Pacers,IND,Eastern,Central
2022,Los Angeles Clippers,LAC,Western,Pacific
2022,Los Angeles Lakers,LAL,Western,Pacific
2022,Memphis Grizzlies,MEM,Western,Southwest
2022,Miami Heat,MIA,Eastern,Southeast
2022,Milwaukee Bucks,MIL,Eastern,Central
2022,Minnesota Timberwolves,MIN,Western,Northwest
2022,New Orleans Pelicans,NOP,Western,Southwest
2022,New York Knicks,NYK,Eastern,Atlantic
2022,Oklahoma City Thunder,OKC,Western,Northwest
2022,Orlando Magic,ORL,Eastern,Southeast
2022,Philadelphia 76ers,PHI,Eastern,Atlantic
2022,Phoenix Suns,PHO,Western,Pacific
2022,Portland Trail Blazers,POR,Western,Northwest
2022,Sacramento Kings,SAC,Western,Pacific
2022,San Antonio Spurs,SAS,Western,Southwest
2022,Toronto Raptors,TOR,Eastern,Atlantic
2022,Utah Jazz,UTA,Western,Northwest
2022,Washington Wizards,WAS,Eastern,Southeast
2023,Atlanta Hawks,ATL,Eastern,Southeast
2023,Boston Celtics,BOS,Eastern,Atlantic
2023,Brooklyn Nets,BRK,Eastern,Atlantic
2023,Charlotte Hornets,CHO,Eastern,Southeast
2023,Chicago Bulls,CHI,Eastern,Central
2023,Cleveland Cavaliers,CLE,Eastern,Central
2023,Dallas Mavericks,DAL,Western,Southwest
2023,Denver Nuggets,DEN,Western,Northwest
2023,Detroit Pistons,DET,Eastern,Central
2023,Golden State Warriors,GSW,Western,Pacific
2023,Houston Rockets,HOU,Western,Southwest
2023,Indiana Pacers,IND,Eastern,Central
2023,Los Angeles Clippers,LAC,Western,Pacific
2023,Los Angeles Lakers,LAL,Western,Pacific
2023,Memphis Grizzlies,MEM,Western,Southwest
2023,Miami Heat,MIA,Eastern,Southeast
2023,Milwaukee Bucks,MIL,Eastern,Central
2023,Minnesota Timberwolves,MIN,Western,Northwest
2023,New Orleans Pelicans,NOP,Western,Southwest
2023,New York Knicks,NYK,Eastern,Atlantic
2023,Oklahoma City Thunder,OKC,Western,Northwest
2023,Orlando Magic,ORL,Eastern,Southeast
2023,Philadelphia 76ers,PHI,Eastern,Atlantic
2023,Phoenix Suns,PHO,Western,Pacific
2023,Portland Trail Blazers,POR,Western,Northwest
2023,Sacramento Kings,SAC,Western,Pacific
2023,San Antonio Spurs,SAS,Western,Southwest
2023,Toronto Raptors,TOR,Eastern,Atlantic
2023,Utah Jazz,UTA,Western,Northwest
2023,Washington Wizards,WAS,Eastern,Southeast
2024,Atlanta Hawks,ATL,Eastern,Southeast
2024,Boston Celtics,BOS,Eastern,Atlantic
2024,Brooklyn Nets,BRK,Eastern,Atlantic
2024,Charlotte Hornets,CHO,Eastern,Southeast
2024,Chicago Bulls,CHI,Eastern,Central
2024,Cleveland Cavaliers,CLE,Eastern,Central
2024,Dallas Mavericks,DAL,Western,Southwest
2024,Denver Nuggets,DEN,Western,Northwest
2024,Detroit Pistons,DET,Eastern,Central
2024,Golden State Warriors,GSW,Western,Pacific
2024,Houston Rockets,HOU,Western,Southwest
2024,Indiana Pacers,IND,Eastern,Central
2024,Los Angeles Clippers,LAC,Western,Pacific
2024,Los Angeles Lakers,LAL,Western,Pacific
2024,Memphis Grizzlies,MEM,Western,Southwest
2024,Miami Heat,MIA,Eastern,Southeast
2024,Milwaukee Bucks,MIL,Eastern,Central
2024,Minnesota Timberwolves,MIN,Western,Northwest
2024,New Orleans Pelicans,NOP,Western,Southwest
2024,New York Knicks,NYK,Eastern,Atlantic
2024,Oklahoma City Thunder,OKC,Western,Northwest
2024,Orlando Magic,ORL,Eastern,Southeast
2024,Philadelphia 76ers,PHI,Eastern,Atlantic
2024,Phoenix Suns,PHO,Western,Pacific
2024,Portland Trail Blazers,POR,Western,Northwest
2024,Sacramento Kings,SAC,Western,Pacific
2024,San Antonio Spurs,SAS,Western,Southwest
2024,Toronto Raptors,TOR,Eastern,Atlantic
2024,Utah Jazz,UTA,Western,Northwest
2024,Washington Wizards,WAS,Eastern,Southeast
2025,Atlanta Hawks,ATL,Eastern,Southeast
2025,Boston Celtics,BOS,Eastern,Atlantic
2025,Brooklyn Nets,BRK,Eastern,Atlantic
2025,Charlotte Hornets,CHO,Eastern,Southeast
2025,Chicago Bulls,CHI,Eastern,Central
2025,Cleveland Cavaliers,CLE,Eastern,Central
2025,Dallas Mavericks,DAL,Western,Southwest
2025,Denver Nuggets,DEN,Western,Northwest
2025,Detroit Pistons,DET,Eastern,Central
2025,Golden State Warriors,GSW,Western,Pacific
2025,Houston Rockets,HOU,Western,Southwest
2025,Indiana Pacers,IND,Eastern,Central
2025,Los Angeles Clippers,LAC,Western,Pacific
2025,Los Angeles Lakers,LAL,Western,Pacific
2025,Memphis Grizzlies,MEM,Western,Southwest
2025,Miami Heat,MIA,Eastern,Southeast
2025,Milwaukee Bucks,MIL,Eastern,Central
2025,Minnesota Timberwolves,MIN,Western,Northwest
2025,New Orleans Pelicans,NOP,Western,Southwest
2025,New York Knicks,NYK,Eastern,Atlantic
2025,Oklahoma City Thunder,OKC,Western,Northwest
2025,Orlando Magic,ORL,Eastern,Southeast
2025,Philadelphia 76ers,PHI,Eastern,Atlantic
2025,Phoenix Suns,PHO,Western,Pacific
2025,Portland Trail Blazers,POR,Western,Northwest
2025,Sacramento Kings,SAC,Western,Pacific
2025,San Antonio Spurs,SAS,Western,Southwest
2025,Toronto Raptors,TOR,Eastern,Atlantic
2025,Utah Jazz,UTA,Western,Northwest
2025,Washington Wizards,WAS,Eastern,Southeast
