season,team name,abv,conference,division
2008,Milwaukee Bucks,MIL,Eastern,Central
2008,Minnesota Timberwolves,MIN,Western,Northwest
2008,New Jersey Nets,NJN,Eastern,Atlantic
2008,New Orleans Hornets,NOH,Western,Southwest
2008,New York Knicks,NYK,Eastern,Atlantic
2008,Oklahoma City Thunder,OKC,Western,Northwest
2008,Orlando Magic,ORL,Eastern,Southeast
2008,Philadelphia 76ers,PHI,Eastern,Atlantic
2008,Phoenix Suns,PHO,Western,Pacific
2008,Portland Trail Blazers,POR,Western,Northwest
2008,Sacramento Kings,SAC,Western,Pacific
2008,San Antonio Spurs,SAS,Western,Southwest
2008,Toronto Raptors,TOR,Eastern,Atlantic
2008,Utah Jazz,UTA,Western,Northwest
2008,Washington Wizards,WAS,Eastern,Southeast
2009,Atlanta Hawks,ATL,Eastern,Southeast
2009,Boston Celtics,BOS,Eastern,Atlantic
2009,Charlotte Bobcats,CHA,Eastern,Southeast
2009,Chicago Bulls,CHI,Eastern,Central
2009,Cleveland Cavaliers,CLE,Eastern,Central
2009,Dallas Mavericks,DAL,Western,Southwest
2009,Denver Nuggets,DEN,Western,Northwest
2009,Detroit Pistons,DET,Eastern,Central
2009,Golden State Warriors,GSW,Western,Pacific
2009,Houston Rockets,HOU,Western,Southwest
2009,Indiana Pacers,IND,Eastern,Central
2009,Los Angeles Clippers,LAC,Western,Pacific
2009,Los Angeles Lakers,LAL,Western,Pacific
2009,Memphis Grizzlies,MEM,Western,Southwest
2009,Miami Heat,MIA,Eastern,Southeast
2009,Milwaukee Bucks,MIL,Eastern,Central
2009,Minnesota Timberwolves,MIN,Western,Northwest
2009,New Jersey Nets,NJN,Eastern,Atlantic
2009,New Orleans Hornets,NOH,Western,Southwest
2009,New York Knicks,NYK,Eastern,Atlantic
2009,Oklahoma City Thunder,OKC,Western,Northwest
2009,Orlando Magic,ORL,Eastern,Southeast
2009,Philadelphia 76ers,PHI,Eastern,Atlantic
2009,Phoenix Suns,PHO,Western,Pacific
2009,Portland Trail Blazers,POR,Western,Northwest
2009,Sacramento Kings,SAC,Western,Pacific
2009,San Antonio Spurs,SAS,Western,Southwest
2009,Toronto Raptors,TOR,Eastern,Atlantic
2009,Utah Jazz,UTA,Western,Northwest
2009,Washington Wizards,WAS,Eastern,Southeast
2010,Atlanta Hawks,ATL,Eastern,Southeast
2010,Boston Celtics,BOS,Eastern,Atlantic
2010,Charlotte Bobcats,CHA,Eastern,Southeast
2010,Chicago Bulls,CHI,Eastern,Central
2010,Cleveland Cavaliers,CLE,Eastern,Central
2010,Dallas Mavericks,DAL,Western,Southwest
2010,Denver Nuggets,DEN,Western,Northwest
2010,Detroit Pistons,DET,Eastern,Central
2010,Golden State Warriors,GSW,Western,Pacific
2010,Houston Rockets,HOU,Western,Southwest
2010,Indiana Pacers,IND,Eastern,Central
2010,Los Angeles Clippers,LAC,Western,Pacific
2010,Los Angeles Lakers,LAL,Western,Pacific
2010,Memphis Grizzlies,MEM,Western,Southwest
2010,Miami Heat,MIA,Eastern,Southeast
2010,Milwaukee Bucks,MIL,Eastern,Central
