season,abv,w,l,games,win_pct,conference,division
2017,BOS,53,29,82,0.65,Eastern,Atlantic
2017,BRK,20,62,82,0.24,Eastern,Atlantic
2017,CHI,41,41,82,0.5,Eastern,Central
2017,CHO,36,46,82,0.44,Eastern,Southeast
2017,CLE,51,31,82,0.62,Eastern,Central
2017,DAL,33,49,82,0.4,Western,Southwest
2017,DEN,40,42,82,0.49,Western,Northwest
2017,DET,37,45,82,0.45,Eastern,Central
2017,GSW,67,15,82,0.82,Western,Pacific
2017,HOU,55,27,82,0.67,Western,Southwest
2017,IND,42,40,82,0.51,Eastern,Central
2017,LAC,51,31,82,0.62,Western,Pacific
2017,LAL,26,56,82,0.32,Western,Pacific
2017,MEM,43,39,82,0.52,Western,Southwest
2017,MIA,41,41,82,0.5,Eastern,Southeast
2017,MIL,42,40,82,0.51,Eastern,Central
2017,MIN,31,51,82,0.38,Western,Northwest
2017,NOP,34,48,82,0.41,Western,Southwest
2017,NYK,31,51,82,0.38,Eastern,Atlantic
2017,OKC,47,35,82,0.57,Western,Northwest
2017,ORL,29,53,82,0.35,Eastern,Southeast
2017,PHI,28,54,82,0.34,Eastern,Atlantic
2017,PHO,24,58,82,0.29,Western,Pacific
2017,POR,41,41,82,0.5,Western,Northwest
2017,SAC,32,50,82,0.39,Western,Pacific
2017,SAS,61,21,82,0.74,Western,Southwest
2017,TOR,51,31,82,0.62,Eastern,Atlantic
2017,UTA,51,31,82,0.62,Western,Northwest
2017,WAS,49,33,82,0.6,Eastern,Southeast
2016,ATL,48,34,82,0.59,Eastern,Southeast
2016,BOS,48,34,82,0.59,Eastern,Atlantic
2016,BRK,21,61,82,0.26,Eastern,Atlantic
2016,CHI,42,40,82,0.51,Eastern,Central
2016,CHO,48,34,82,0.59,Eastern,Southeast
2016,CLE,57,25,82,0.7,Eastern,Central
2016,DAL,42,40,82,0.51,Western,Southwest
2016,DEN,33,49,82,0.4,Western,Northwest
2016,DET,44,38,82,0.54,Eastern,Central
2016,GSW,73,9,82,0.89,Western,Pacific
2016,HOU,41,41,82,0.5,Western,Southwest
2016,IND,45,37,82,0.55,Eastern,Central
2016,LAC,53,29,82,0.65,Western,Pacific
2016,LAL,17,65,82,0.21,Western,Pacific
2016,MEM,42,40,82,0.51,Western,Southwest
2016,MIA,48,34,82,0.59,Eastern,Southeast
2016,MIL,33,49,82,0.4,Eastern,Central
2016,MIN,29,53,82,0.35,Western,Northwest
2016,NOP,30,52,82,0.37,Western,Southwest
2016,NYK,32,50,82,0.39,Eastern,Atlantic
2016,OKC,55,27,82,0.67,Western,Northwest
2016,ORL,35,47,82,0.43,Eastern,Southeast
2016,PHI,10,72,82,0.12,Eastern,Atlantic
2016,PHO,23,59,82,0.28,Western,Pacific
2016,POR,44,38,82,0.54,Western,Northwest
2016,SAC,33,49,82,0.4,Western,Pacific
2016,SAS,67,15,82,0.82,Western,Southwest
2016,TOR,56,26,82,0.68,Eastern,Atlantic
2016,UTA,40,42,82,0.49,Western,Northwest
2016,WAS,41,41,82,0.5,Eastern,Southeast
2015,ATL,60,22,82,0.73,Eastern,Southeast
2015,BOS,40,42,82,0.49,Eastern,Atlantic
2015,BRK,38,44,82,0.46,Eastern,Atlantic
2015,CHI,50,32,82,0.61,Eastern,Central
2015,CHO,33,49,82,0.4,Eastern,Southeast
2015,CLE,53,29,82,0.65,Eastern,Central
2015,DAL,50,32,82,0.61,Western,Southwest
2015,DEN,30,52,82,0.37,Western,Northwest
2015,DET,32,50,82,0.39,Eastern,Central
2015,GSW,67,15,82,0.82,Western,Pacific
2015,HOU,56,26,82,0.68,Western,Southwest
2015,IND,38,44,82,0.46,Eastern,Central
2015,LAC,56,26,82,0.68,Western,Pacific
2015,LAL,21,61,82,0.26,Western,Pacific
2015,MEM,55,27,82,0.67,Western,Southwest
2015,MIA,37,45,82,0.45,Eastern,Southeast
2015,MIL,41,41,82,0.5,Eastern,Central
2015,MIN,16,66,82,0.2,Western,Northwest
2015,NOP,45,37,82,0.55,Western,Southwest
2015,NYK,17,65,82,0.21,Eastern,Atlantic
2015,OKC,45,37,82,0.55,Western,Northwest
2015,ORL,25,57,82,0.3,Eastern,Southeast
2015,PHI,18,64,82,0.22,Eastern,Atlantic
2015,PHO,39,43,82,0.48,Western,Pacific
2015,POR,51,31,82,0.62,Western,Northwest
2015,SAC,29,53,82,0.35,Western,Pacific
2015,SAS,55,27,82,0.67,Western,Southwest
2015,TOR,49,33,82,0.6,Eastern,Atlantic
2015,UTA,38,44,82,0.46,Western,Northwest
2015,WAS,46,36,82,0.56,Eastern,Southeast
2014,ATL,38,44,82,0.46,Eastern,Southeast
2014,BOS,25,57,82,0.3,Eastern,Atlantic
2014,BRK,44,38,82,0.54,Eastern,Atlantic
2014,CHA,43,39,82,0.52,Eastern,Southeast
2014,CHA,43,39,82,0.52,Eastern,Southeast
2014,CHI,48,34,82,0.59,Eastern,Central
2014,CLE,33,49,82,0.4,Eastern,Central
2014,DAL,49,33,82,0.6,Western,Southwest
2014,DEN,36,46,82,0.44,Western,Northwest
2014,DET,29,53,82,0.35,Eastern,Central
2014,GSW,51,31,82,0.62,Western,Pacific
2014,HOU,54,28,82,0.66,Western,Southwest
2014,IND,56,26,82,0.68,Eastern,Central
2014,LAC,57,25,82,0.7,Western,Pacific
2014,LAL,27,55,82,0.33,Western,Pacific
2014,MEM,50,32,82,0.61,Western,Southwest
2014,MIA,54,28,82,0.66,Eastern,Southeast
2014,MIL,15,67,82,0.18,Eastern,Central
2014,MIN,40,42,82,0.49,Western,Northwest
2014,NOP,34,48,82,0.41,Western,Southwest
2014,NYK,37,45,82,0.45,Eastern,Atlantic
2014,OKC,59,23,82,0.72,Western,Northwest
2014,ORL,23,59,82,0.28,Eastern,Southeast
2014,PHI,19,63,82,0.23,Eastern,Atlantic
2014,PHO,48,34,82,0.59,Western,Pacific
2014,POR,54,28,82,0.66,Western,Northwest
2014,SAC,28,54,82,0.34,Western,Pacific
2014,SAS,62,20,82,0.76,Western,Southwest
2014,TOR,48,34,82,0.59,Eastern,Atlantic
2014,UTA,25,57,82,0.3,Western,Northwest
2014,WAS,44,38,82,0.54,Eastern,Southeast
2013,ATL,44,38,82,0.54,Eastern,Southeast
2013,BOS,41,40,81,0.51,Eastern,Atlantic
2013,BRK,49,33,82,0.6,Eastern,Atlantic
2013,CHA,21,61,82,0.26,Eastern,Southeast
2013,CHI,45,37,82,0.55,Eastern,Central
2013,CLE,24,58,82,0.29,Eastern,Central
2013,DAL,41,41,82,0.5,Western,Southwest
2013,DEN,57,25,82,0.7,Western,Northwest
2013,DET,29,53,82,0.35,Eastern,Central
2013,GSW,47,35,82,0.57,Western,Pacific
2013,HOU,45,37,82,0.55,Western,Southwest
2013,IND,49,32,81,0.6,Eastern,Central
2013,LAC,56,26,82,0.68,Western,Pacific
2013,LAL,45,37,82,0.55,Western,Pacific
2013,MEM,56,26,82,0.68,Western,Southwest
2013,MIA,66,16,82,0.8,Eastern,Southeast
2013,MIL,38,44,82,0.46,Eastern,Central
2013,MIN,31,51,82,0.38,Western,Northwest
2013,NOH,27,55,82,0.33,Western,Southwest
2013,NYK,54,28,82,0.66,Eastern,Atlantic
2013,OKC,60,22,82,0.73,Western,Northwest
2013,ORL,20,62,82,0.24,Eastern,Southeast
2013,PHI,34,48,82,0.41,Eastern,Atlantic
2013,PHO,25,57,82,0.3,Western,Pacific
2013,POR,33,49,82,0.4,Western,Northwest
2013,SAC,28,54,82,0.34,Western,Pacific
2013,SAS,58,24,82,0.71,Western,Southwest
2013,TOR,34,48,82,0.41,Eastern,Atlantic
2013,UTA,43,39,82,0.52,Western,Northwest
2013,WAS,29,53,82,0.35,Eastern,Southeast
2012,ATL,40,26,66,0.61,Eastern,Southeast
2012,BOS,39,27,66,0.59,Eastern,Atlantic
2012,CHA,7,59,66,0.11,Eastern,Southeast
2012,CHI,50,16,66,0.76,Eastern,Central
2012,CLE,21,45,66,0.32,Eastern,Central
2012,DAL,36,30,66,0.55,Western,Southwest
2012,DEN,38,28,66,0.58,Western,Northwest
2012,DET,25,41,66,0.38,Eastern,Central
2012,GSW,23,43,66,0.35,Western,Pacific
2012,HOU,34,32,66,0.52,Western,Southwest
2012,IND,42,24,66,0.64,Eastern,Central
2012,LAC,40,26,66,0.61,Western,Pacific
2012,LAL,41,25,66,0.62,Western,Pacific
2012,MEM,41,25,66,0.62,Western,Southwest
2012,MIA,46,20,66,0.7,Eastern,Southeast
2012,MIL,31,35,66,0.47,Eastern,Central
2012,MIN,26,40,66,0.39,Western,Northwest
2012,NJN,22,44,66,0.33,Eastern,Atlantic
2012,NOH,21,45,66,0.32,Western,Southwest
2012,NYK,36,30,66,0.55,Eastern,Atlantic
2012,OKC,47,19,66,0.71,Western,Northwest
2012,ORL,37,29,66,0.56,Eastern,Southeast
2012,PHI,35,31,66,0.53,Eastern,Atlantic
2012,PHO,33,33,66,0.5,Western,Pacific
2012,POR,28,38,66,0.42,Western,Northwest
2012,SAC,22,44,66,0.33,Western,Pacific
2012,SAS,50,16,66,0.76,Western,Southwest
2012,TOR,23,43,66,0.35,Eastern,Atlantic
2012,UTA,36,30,66,0.55,Western,Northwest
2012,WAS,20,46,66,0.3,Eastern,Southeast
2011,ATL,44,38,82,0.54,Eastern,Southeast
2011,BOS,56,26,82,0.68,Eastern,Atlantic
2011,CHA,34,48,82,0.41,Eastern,Southeast
2011,CHI,62,20,82,0.76,Eastern,Central
2011,CLE,19,63,82,0.23,Eastern,Central
2011,DAL,57,25,82,0.7,Western,Southwest
2011,DEN,50,32,82,0.61,Western,Northwest
2011,DET,30,52,82,0.37,Eastern,Central
2011,GSW,36,46,82,0.44,Western,Pacific
2011,HOU,43,39,82,0.52,Western,Southwest
2011,IND,37,45,82,0.45,Eastern,Central
2011,LAC,32,50,82,0.39,Western,Pacific
2011,LAL,57,25,82,0.7,Western,Pacific
2011,MEM,46,36,82,0.56,Western,Southwest
2011,MIA,58,24,82,0.71,Eastern,Southeast
2011,MIL,35,47,82,0.43,Eastern,Central
2011,MIN,17,65,82,0.21,Western,Northwest
2011,NJN,24,58,82,0.29,Eastern,Atlantic
2011,NOH,46,36,82,0.56,Western,Southwest
2011,NYK,42,40,82,0.51,Eastern,Atlantic
2011,OKC,55,27,82,0.67,Western,Northwest
2011,ORL,52,30,82,0.63,Eastern,Southeast
2011,PHI,41,41,82,0.5,Eastern,Atlantic
2011,PHO,40,42,82,0.49,Western,Pacific
2011,POR,48,34,82,0.59,Western,Northwest
2011,SAC,24,58,82,0.29,Western,Pacific
2011,SAS,61,21,82,0.74,Western,Southwest
2011,TOR,22,60,82,0.27,Eastern,Atlantic
2011,UTA,39,43,82,0.48,Western,Northwest
2011,WAS,23,59,82,0.28,Eastern,Southeast
2010,ATL,53,29,82,0.65,Eastern,Southeast
2010,BOS,50,32,82,0.61,Eastern,Atlantic
2010,CHA,44,38,82,0.54,Eastern,Southeast
2010,CHI,41,41,82,0.5,Eastern,Central
2010,CLE,61,21,82,0.74,Eastern,Central
2010,DAL,55,27,82,0.67,Western,Southwest
2010,DEN,53,29,82,0.65,Western,Northwest
2010,DET,27,55,82,0.33,Eastern,Central
2010,GSW,26,56,82,0.32,Western,Pacific
2010,HOU,42,40,82,0.51,Western,Southwest
2010,IND,32,50,82,0.39,Eastern,Central
2010,LAC,29,53,82,0.35,Western,Pacific
2010,LAL,57,25,82,0.7,Western,Pacific
2010,MEM,40,42,82,0.49,Western,Southwest
2010,MIA,47,35,82,0.57,Eastern,Southeast
2010,MIL,46,36,82,0.56,Eastern,Central
2010,MIN,15,67,82,0.18,Western,Northwest
2010,NJN,12,70,82,0.15,Eastern,Atlantic
2010,NOH,37,45,82,0.45,Western,Southwest
2010,NYK,29,53,82,0.35,Eastern,Atlantic
2010,OKC,50,32,82,0.61,Western,Northwest
2010,ORL,59,23,82,0.72,Eastern,Southeast
2010,PHI,27,55,82,0.33,Eastern,Atlantic
2010,PHO,54,28,82,0.66,Western,Pacific
2010,POR,50,32,82,0.61,Western,Northwest
2010,SAC,25,57,82,0.3,Western,Pacific
2010,SAS,50,32,82,0.61,Western,Southwest
2010,TOR,40,42,82,0.49,Eastern,Atlantic
2010,UTA,53,29,82,0.65,Western,Northwest
2010,WAS,26,56,82,0.32,Eastern,Southeast
2009,ATL,47,35,82,0.57,Eastern,Southeast
2009,BOS,62,20,82,0.76,Eastern,Atlantic
