season,player_id,abv,per,ts_percent,obpm,dbpm,usg_percent,gs,g,ast_per_game,tov_per_game,mp_per_game,w,l,playoffs,a2t_perc,team_win_perc,role,experience
2025,finnedo01,BRK,12.2,0.61,-0.1,0.1,14.2,20.0,20,1.6,0.9,29.0,26,56,False,1.78,0.32,S,8
2025,finnedo01,LAL,9.2,0.6,-1.6,0.1,11.5,20.0,43,1.4,0.9,28.8,50,32,True,1.56,0.61,R,8
2025,fontesi01,DET,9.7,0.54,-2.2,-0.7,15.8,0.0,75,0.9,0.7,16.5,44,38,True,1.29,0.54,R,2
2025,foxde01,SAC,19.0,0.57,2.0,-0.8,29.1,45.0,45,6.1,3.0,37.0,40,42,True,2.03,0.49,S,7
2025,foxde01,SAS,16.3,0.54,-0.6,-1.4,26.0,17.0,17,6.8,2.4,34.0,34,48,False,2.83,0.41,S,7
2025,garlada01,CLE,19.9,0.6,3.9,-0.8,27.2,75.0,75,6.7,2.5,30.7,64,18,True,2.68,0.78,S,5
2025,georgke01,UTA,12.9,0.54,-0.2,-2.5,24.3,35.0,67,5.6,2.7,31.5,17,65,False,2.07,0.21,S,1
2025,georgky01,WAS,8.8,0.5,-3.8,-0.3,15.9,38.0,68,2.5,1.4,26.5,18,64,False,1.79,0.22,S,0
2025,georgpa01,PHI,14.5,0.54,-0.5,0.1,23.5,41.0,41,4.3,2.6,32.5,24,58,False,1.65,0.29,S,14
2025,giddejo01,CHI,18.1,0.57,1.9,1.1,21.7,69.0,70,7.2,2.9,30.2,39,43,True,2.48,0.48,S,3
2025,gilgesh01,OKC,30.7,0.64,8.9,2.6,34.8,76.0,76,6.4,2.4,34.2,68,14,True,2.67,0.83,S,6
2025,goberru01,MIN,18.3,0.69,0.6,1.3,13.0,72.0,72,1.8,1.2,33.2,49,33,True,1.5,0.6,S,11
2025,goodwjo01,LAL,12.1,0.54,-1.7,0.8,14.1,5.0,29,1.4,0.9,18.7,50,32,True,1.56,0.61,B,3
2025,gordoaa01,DEN,17.0,0.65,2.7,-1.5,19.0,42.0,51,3.2,1.4,28.4,50,32,True,2.29,0.61,S,10
2025,gordoer01,PHI,10.8,0.59,-0.8,-0.8,14.4,13.0,39,1.7,0.7,19.7,24,58,False,2.43,0.29,R,16
2025,grantje01,POR,10.9,0.52,-1.4,-0.3,19.4,47.0,47,2.1,1.4,32.4,36,46,False,1.5,0.44,S,10
2025,greenaj01,MIL,9.2,0.62,-1.7,-0.4,12.6,7.0,73,1.5,0.5,22.7,48,34,True,3.0,0.59,R,2
2025,greendr01,GSW,12.4,0.53,-2.3,2.8,15.9,66.0,68,5.6,2.6,29.2,48,34,True,2.15,0.59,S,12
2025,greenja02,NOP,10.8,0.57,-2.5,0.3,10.9,18.0,50,0.9,0.6,21.8,21,61,False,1.5,0.26,R,5
2025,greenja05,HOU,15.1,0.54,1.1,-0.5,27.3,82.0,82,3.4,2.5,32.9,52,30,True,1.36,0.63,S,3
2025,greenjo02,CHO,7.8,0.56,-4.5,0.2,11.8,67.0,68,1.6,1.0,27.8,19,63,False,1.6,0.23,S,4
2025,grimequ01,DAL,13.3,0.6,0.1,-0.4,18.5,12.0,47,2.1,1.3,22.8,39,43,True,1.62,0.48,R,3
2025,grimequ01,PHI,18.8,0.59,2.7,-1.5,27.5,25.0,28,4.5,2.9,33.7,24,58,False,1.55,0.29,S,3
2025,hachiru01,LAL,13.6,0.62,-0.1,-0.6,15.8,57.0,59,1.4,0.8,31.7,50,32,True,1.75,0.61,S,5
2025,halibty01,IND,21.8,0.62,5.7,0.2,21.6,73.0,73,9.2,1.6,33.6,50,32,True,5.75,0.61,S,4
2025,hardati02,DET,9.8,0.57,-1.1,-0.9,15.5,77.0,77,1.6,0.6,28.0,44,38,True,2.67,0.54,S,11
2025,hardeja01,LAC,20.0,0.58,3.5,0.8,29.6,79.0,79,8.7,4.3,35.3,50,32,True,2.02,0.61,S,15
2025,hardyja02,DAL,10.4,0.55,-2.8,-1.9,25.3,3.0,57,1.4,1.4,15.9,39,43,True,1.0,0.48,R,2
2025,harrito02,DET,13.9,0.57,-0.5,0.6,17.6,73.0,73,2.2,1.2,31.6,44,38,True,1.83,0.54,S,13
2025,harteis01,OKC,18.9,0.6,0.6,2.6,16.7,53.0,57,3.8,1.7,27.9,68,14,True,2.24,0.83,S,6
2025,hartjo01,NYK,16.5,0.61,1.1,1.8,15.3,77.0,77,5.9,2.1,37.6,51,31,True,2.81,0.62,S,7
2025,hausesa01,BOS,12.8,0.63,0.9,-0.1,14.3,19.0,71,0.9,0.3,21.7,61,21,True,3.0,0.74,R,3
2025,hawkijo01,NOP,9.6,0.5,-2.4,-3.0,21.0,9.0,56,1.2,1.0,23.6,21,61,False,1.2,0.26,R,1
2025,hayeski01,BRK,12.7,0.56,-0.5,-0.1,15.5,5.0,6,5.2,1.5,27.0,26,56,False,3.47,0.32,S,4
2025,hendesc01,POR,12.5,0.54,-1.4,-0.8,22.5,10.0,66,5.1,2.7,26.7,36,46,False,1.89,0.44,R,1
2025,hendrta01,UTA,7.1,0.35,-4.8,1.3,12.1,3.0,3,0.7,0.7,25.0,17,65,False,1.0,0.21,S,1
2025,herroty01,MIA,19.7,0.6,3.8,-0.7,28.0,77.0,77,5.5,2.6,35.4,37,45,True,2.12,0.45,S,5
2025,hieldbu01,GSW,12.3,0.56,-0.7,-0.3,20.5,22.0,82,1.6,1.1,22.7,48,34,True,1.45,0.59,R,8
2025,highsha01,MIA,9.9,0.58,-2.7,0.9,11.3,42.0,74,1.5,0.7,24.6,37,45,True,2.14,0.45,S,6
2025,holidjr01,BOS,13.5,0.56,-0.3,1.0,15.8,62.0,62,3.9,1.2,30.6,61,21,True,3.25,0.74,S,15
2025,hollaro01,DET,11.1,0.56,-3.3,0.3,18.1,2.0,81,1.0,0.9,15.6,44,38,True,1.11,0.54,R,0
2025,holmeri01,WAS,19.8,0.7,1.2,0.0,14.7,7.0,31,1.4,0.7,17.2,18,64,False,2.0,0.22,R,9
2025,holmgch01,OKC,19.2,0.6,0.5,1.9,22.0,32.0,32,2.0,1.8,27.4,68,14,True,1.11,0.83,S,1
2025,horfoal01,BOS,12.9,0.56,0.1,1.1,13.8,42.0,60,2.1,0.8,27.7,61,21,True,2.62,0.74,S,17
2025,huertke01,SAC,10.6,0.52,-2.3,0.0,17.2,15.0,43,1.7,0.9,20.9,40,42,True,1.89,0.49,R,6
2025,huertke01,CHI,12.0,0.57,-1.2,-0.3,17.8,16.0,26,3.2,1.2,30.0,39,43,True,2.67,0.48,S,6
2025,huntede01,ATL,15.8,0.62,0.9,-1.4,24.2,4.0,37,1.5,1.6,28.8,40,42,True,0.94,0.49,R,5
2025,huntede01,CLE,16.2,0.63,1.6,0.0,20.5,5.0,27,1.3,0.9,25.0,64,18,True,1.44,0.78,B,5
2025,hylanbo01,LAC,16.4,0.57,1.2,1.9,29.6,0.0,20,1.4,1.2,11.1,50,32,True,1.17,0.61,B,3
2025,ighodos01,PHO,11.1,0.61,-2.9,0.3,10.5,6.0,61,1.2,0.6,17.1,36,46,False,2.0,0.44,R,0
2025,ingrabr01,NOP,16.0,0.56,1.4,-1.7,30.2,18.0,18,5.2,3.8,33.1,21,61,False,1.37,0.26,S,8
2025,irvinky01,DAL,19.9,0.59,3.9,-0.5,27.4,50.0,50,4.6,2.2,36.1,39,43,True,2.09,0.48,S,13
2025,isaacjo01,ORL,16.6,0.51,-1.1,1.8,16.2,1.0,71,0.6,0.5,15.4,41,41,True,1.2,0.5,R,7
2025,iveyja01,DET,14.7,0.57,0.8,-0.8,26.0,30.0,30,4.0,3.0,29.9,44,38,True,1.33,0.54,S,2
2025,jacksgg01,MEM,9.3,0.48,-3.3,-2.0,21.7,3.0,29,1.0,1.1,15.8,48,34,True,0.91,0.59,B,1
2025,jacksja02,MEM,19.6,0.59,1.6,0.8,28.1,74.0,74,2.0,2.1,29.8,48,34,True,0.95,0.59,S,6
2025,jacksqu01,IND,14.7,0.58,-1.2,0.8,17.7,7.0,28,1.9,0.6,13.6,50,32,True,3.17,0.61,B,2
2025,jamesle01,LAL,22.7,0.6,4.9,0.7,30.1,70.0,70,8.2,3.7,34.9,50,32,True,2.22,0.61,S,21
2025,jaqueja01,MIA,14.3,0.54,-1.4,0.5,20.2,17.0,66,2.5,1.5,20.7,37,45,True,1.67,0.45,R,1
2025,jeffrda01,CHO,7.9,0.52,-4.0,-0.7,13.5,20.0,47,1.1,0.7,22.8,19,63,False,1.57,0.23,R,5
2025,jemistr01,NOP,9.4,0.46,-5.8,-0.4,13.0,0.0,16,0.6,0.6,10.4,21,61,False,1.0,0.26,B,1
2025,jemistr01,LAL,8.6,0.6,-6.7,-0.6,11.9,0.0,22,0.3,0.6,10.3,50,32,True,0.5,0.61,B,1
2025,jeromty01,CLE,21.0,0.64,3.5,0.8,23.6,3.0,70,3.4,1.3,19.9,64,18,True,2.62,0.78,R,5
2025,joeis01,OKC,14.0,0.62,1.4,-0.1,17.2,16.0,74,1.6,0.5,21.7,68,14,True,3.2,0.83,R,4
2025,johnsaj01,WAS,6.9,0.48,-5.8,-2.5,17.0,11.0,22,3.1,1.4,27.0,18,64,False,2.21,0.22,S,0
2025,johnsca02,BRK,18.2,0.63,3.5,-0.4,22.9,57.0,57,3.4,1.7,31.6,26,56,False,2.0,0.32,S,5
2025,johnsja05,ATL,17.3,0.57,0.5,1.4,22.5,36.0,36,5.0,2.9,35.7,40,42,True,1.72,0.49,S,3
2025,johnske04,SAS,15.6,0.57,0.0,-1.6,21.6,0.0,77,1.6,1.0,23.9,34,48,False,1.6,0.41,R,5
2025,jokicni01,DEN,32.0,0.66,9.9,3.3,29.5,70.0,70,10.2,3.3,36.7,50,32,True,3.09,0.61,S,9
